srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,weekday,week_of_year,hour_time,minute_time,time_epoch,early_night,nans_count,score,event_id
1672,2021-08-17 14:08:14,14,100,,,100,3674,2,4.5,1,2.89,0.1873,0.0,78.94,0,3410,1,120,2,0,1,1,,37.05,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-0.3034440189405202,0
1672,2021-08-17 14:08:14,14,100,,,100,21062,4,4.5,1,0.0,0.0517,0.0,215.65,1,3410,1,120,2,0,1,1,,34.89,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,0.12772991900286565,1
1672,2021-08-17 14:08:14,14,100,,,100,29006,3,4.0,1,2.4,0.0409,0.0,71.24,0,3410,1,120,2,0,1,1,,36.95,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-2.540481118140298,2
1672,2021-08-17 14:08:14,14,100,,,100,42013,3,4.0,1,3.0,0.1159,0.0,102.05,1,3410,1,120,2,0,1,1,,37.37,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-0.2108027626545587,3
1672,2021-08-17 14:08:14,14,100,,,100,43987,4,4.5,1,2.08,0.0713,0.0,162.7,0,3410,1,120,2,0,1,1,,36.46,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-1.2499322746138268,4
1672,2021-08-17 14:08:14,14,100,,,100,46288,2,3.5,0,1.1,,0.0,72.21,0,3410,1,120,2,0,1,1,,40.5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,28,-1.6517015272253468,5
1672,2021-08-17 14:08:14,14,100,,,100,56111,4,4.5,1,2.2,0.0644,0.0,153.08,0,3410,1,120,2,0,1,1,,36.48,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-0.9328353984016244,6
1672,2021-08-17 14:08:14,14,100,,,100,57385,4,4.5,0,2.83,0.1543,0.0,183.88,1,3410,1,120,2,0,1,1,,37.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,0.24594251200088552,7
1672,2021-08-17 14:08:14,14,100,,,100,63454,4,4.0,1,2.64,0.0636,0.0,107.83,0,3410,1,120,2,0,1,1,,36.71,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-0.6137847507202359,8
1672,2021-08-17 14:08:14,14,100,,,100,63490,3,4.5,0,3.74,,0.0,172.33,0,3410,1,120,2,0,1,1,,37.44,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,28,-0.9910794943559719,9
1672,2021-08-17 14:08:14,14,100,,,100,63848,3,4.0,1,2.2,0.0747,0.0,77.02,0,3410,1,120,2,0,1,1,,38.09,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-1.2006094817310649,10
1672,2021-08-17 14:08:14,14,100,,,100,66829,4,4.5,0,2.83,0.1413,0.0,160.78,1,3410,1,120,2,0,1,1,,37.13,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,0.3913839762892949,11
1672,2021-08-17 14:08:14,14,100,,,100,77192,4,3.5,1,2.08,0.1049,0.0,106.86,1,3410,1,120,2,0,1,1,,36.28,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,0.4501790929210313,12
1672,2021-08-17 14:08:14,14,100,,,100,78541,4,4.5,1,2.56,0.067,0.0,124.19,0,3410,1,120,2,0,1,1,,36.43,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-0.8398571232875599,13
1672,2021-08-17 14:08:14,14,100,,,100,82151,2,4.0,1,2.08,0.1043,0.0,76.06,0,3410,1,120,2,0,1,1,,36.29,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-0.8009326910777341,14
1672,2021-08-17 14:08:14,14,100,,,100,92749,3,3.5,1,2.77,0.1305,0.0,73.17,0,3410,1,120,2,0,1,1,,37.75,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-1.052205659362927,15
1672,2021-08-17 14:08:14,14,100,,,100,94837,3,3.5,1,2.77,0.1348,0.0,80.87,1,3410,1,120,2,0,1,1,,37.65,0,,,,,,,,,,,,,,,,,,,,,,,,,1,3,25,14,8,1371737294.0,False,27,-0.021845121482457215,16
1672,2021-08-17 14:08:14,14,100,,,100,95519,3,4.0,0,2.3,0.0967,0.0,85.68,0,3410,1,120,2,0,1,1,,37.99,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-0.9493511750452102,17
1672,2021-08-17 14:08:14,14,100,,,100,97573,3,,0,0.69,,0.0,114.57,0,3410,1,120,2,0,1,1,,35.91,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,29,-1.146103490903045,18
1672,2021-08-17 14:08:14,14,100,,,100,99360,3,4.0,1,2.71,,0.0,88.57,0,3410,1,120,2,0,1,1,,37.7,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,28,-1.6626323767898392,19
1672,2021-08-17 14:08:14,14,100,,,100,103037,3,4.5,1,0.69,,0.0,107.83,0,3410,1,120,2,0,1,1,,39.83,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,28,-0.46462530377732825,20
1672,2021-08-17 14:08:14,14,100,,,100,105570,3,4.0,1,2.64,0.0394,0.0,134.78,0,3410,1,120,2,0,1,1,,36.89,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-1.7826768877751213,21
1672,2021-08-17 14:08:14,14,100,,,100,108658,3,4.0,1,2.89,0.1819,0.0,97.24,0,3410,1,120,2,0,1,1,,37.05,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-0.65656566093324,22
1672,2021-08-17 14:08:14,14,100,,,100,117232,2,4.0,1,2.08,0.1019,0.0,73.17,0,3410,1,120,2,0,1,1,,36.26,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-1.4952977824036084,23
1672,2021-08-17 14:08:14,14,100,,,100,119306,4,4.0,1,2.08,0.0827,0.0,162.7,0,3410,1,120,2,0,1,1,,36.43,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,27,-1.3533501132079349,24
1672,2021-08-17 14:08:14,14,100,,,100,121285,2,3.5,1,0.69,,0.0,59.69,1,3410,1,120,2,0,1,1,,40.21,0,,,,,,,,,,,,,,,,,,,,,,,,,0,3,25,14,8,1371737294.0,False,28,-1.6090696284926023,25
