TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,OWN_CAR_AGE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE_Revolving loans,FLAG_OWN_CAR_N,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_N,FLAG_OWN_REALTY_Y
1,0,202500.0,406597.5,24700.5,351000.0,0.018801,-9461,-637,-3648.0,,1.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0247,0.0369,0.9722,0.6192,0.0143,0.0369,0.0202,0.019,1,0,1,0,0,1
0,0,270000.0,1293502.5,35698.5,1129500.0,0.003540999999999999,-16765,-1188,-1186.0,,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0959,0.0529,0.9851,0.7959999999999999,0.0605,0.013000000000000001,0.0773,0.0549,1,0,1,0,1,0
0,0,67500.0,135000.0,6750.0,135000.0,0.010032,-19046,-225,-4260.0,26.0,1.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,1,0,1,0,1
0,0,135000.0,312682.5,29686.5,297000.0,0.008019,-19005,-3039,-9833.0,,2.0,2,2,,,,,,,,,,,,,,,1,0,1,0,0,1
0,0,121500.0,513000.0,21865.5,513000.0,0.028663,-19932,-3038,-4311.0,,1.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1,0,1,0,0,1
0,0,99000.0,490495.5,27517.5,454500.0,0.035792000000000004,-16941,-1588,-4970.0,,2.0,2,2,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,1,0,1,0,0,1
0,1,171000.0,1560726.0,41301.0,1395000.0,0.035792000000000004,-13778,-3130,-1213.0,17.0,3.0,2,2,0.0,0.0,0.0,1.0,1.0,2.0,,,,,,,,,1,0,0,1,0,1
0,0,360000.0,1530000.0,42075.0,1530000.0,0.003122,-18850,-449,-4597.0,8.0,2.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1,0,0,1,0,1
0,0,112500.0,1019610.0,33826.5,913500.0,0.018634,-20099,365243,-7427.0,,2.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,1,0,1,0,0,1
0,0,135000.0,405000.0,20250.0,405000.0,0.019689,-14469,-2019,-14437.0,,1.0,2,2,,,,,,,,,,,,,,,0,1,1,0,0,1
0,1,112500.0,652500.0,21177.0,652500.0,0.0228,-10197,-679,-4427.0,,3.0,2,2,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,1,0,1,0,0,1
